CodiceFiscale,Name,Birthday,Phone,Country,Address,City,Province
RSSMRA85M01H501Z,Giuseppe Rossi,7/15/1985,+39 327 1234567,Italy,Via Roma 123,Milan,MI
MRTLSA90M22H501X,Alessia Moretti,4/22/1990,+39 349 9876543,Italy,Corso Vittorio Emanuele 45,Rome,RM
BNCLCU88M10H501Y,Luca Bianchi,11/10/1988,+39 366 1122334,Italy,Viale della Libertà 78,Florence,FI
FRRTNN95M30H501W,Martina Ferrari,8/30/1995,+39 335 7890123,Italy,Piazza San Marco 21,Venice,VE
RSSGNN92M18H501A,Giovanni Russo,3/18/1992,+39 346 3456789,Italy,Corso Magenta 56,Turin,TO
PLLMRA87M05H501B,Roberta Palumbo,12/5/1987,+39 320 2345678,Italy,Via della Repubblica 34,Naples,NA
GNNSMN89M14H501C,Marco Gennaro,9/14/1989,+39 328 8765432,Italy,Via Garibaldi 67,Genoa,GE
FRRRCA96M25H501D,Caterina Ferraro,6/25/1996,+39 312 3456789,Italy,Corso Umberto 12,Bologna,BO
LSNRSS91M03H501E,Rossella Lasagna,1/3/1991,+39 317 9876543,Italy,Viale dei Fiori 56,Palermo,PA
GRLNCO94M08H501F,Concetta Greco,5/8/1994,+39 324 1122334,Italy,Piazza del Popolo 78,Bari,BA
BRCCLA86M17H501G,Claudio Barucci,10/17/1986,+39 335 2233445,Italy,Corso Cavour 45,Florence,FI
PRRFLV97M12H501H,Flavio Perri,2/12/1997,+39 327 9876543,Italy,Via Montenapoleone 21,Milan,MI
DLLRLL93M09H501I,Lorella Dalla,4/9/1993,+39 329 8765432,Italy,Viale Trastevere 34,Rome,RM
LMRGLR88M02H501J,Gloria Lamarca,8/2/1988,+39 312 2345678,Italy,Corso Buenos Aires 56,Milan,MI
FRTGNN85M26H501K,Nicoletta Ferrante,11/26/1985,+39 315 3456789,Italy,Via Veneto 67,Rome,RM
VLLNCR90M21H501L,Carlo Villani,6/21/1990,+39 326 1122334,Italy,Corso Garibaldi 12,Milan,MI
LZZMRA98M07H501M,Maria Lazzaro,12/7/1998,+39 321 2233445,Italy,Via Nazionale 45,Rome,RM
NPLLSM89M04H501N,Simona Napoli,3/4/1989,+39 334 3344556,Italy,Viale dei Colli 78,Florence,FI
PLLMRA87M05H501O,Oscar Palladino,10/5/1987,+39 330 4455667,Italy,Via della Croce 21,Rome,RM
GGRGNO92M23H501P,Noemi Grasso,7/23/1992,+39 340 5566778,Italy,Corso Italia 34,Milan,MI
TSTNCR95M28H501Q,Questa Testa,4/28/1995,+39 345 1122334,Italy,Via della Moscova 67,Milan,MI
PSCDLR91M09H501R,Riccardo Pascale,2/9/1991,+39 326 3344556,Italy,Corso Magenta 12,Milan,MI
GRGGRN89M10H501S,Sofia Gragnani,9/10/1989,+39 312 4455667,Italy,Viale dei Pini 45,Florence,FI
DNCSCA96M15H501T,Carla Donatelli,11/15/1996,+39 317 5566778,Italy,Piazza Navona 21,Rome,RM
DLLRLL93M09H501U,Lorenzo Dallara,4/9/1993,+39 329 2233445,Italy,Viale Trastevere 34,Rome,RM
LRNCPR88M02H501V,Valentina Lorenzini,8/2/1988,+39 312 2345678,Italy,Corso Buenos Aires 56,Milan,MI
FRTGNN85M26H501W,Walter Frattini,11/26/1985,+39 315 3456789,Italy,Via Veneto 67,Rome,RM
VLLNCR90M21H501X,Xavier Villani,6/21/1990,+39 326 1122334,Italy,Corso Garibaldi 12,Milan,MI
MRTLSA90M22H501Y,Yasmine Moretti,4/22/1990,+39 349 9876543,Italy,Corso Vittorio Emanuele 45,Rome,RM
LZZMRA98M07H501Z,Zara Lazzaro,12/7/1998,+39 321 2233445,Italy,Via Nazionale 45,Rome,RM
NPLLSM89M04H501A,Alberto Napoli,3/4/1989,+39 334 3344556,Italy,Viale dei Colli 78,Florence,FI
PLLMRA87M05H501B,Beatrice Palladino,10/5/1987,+39 330 4455667,Italy,Via della Croce 21,Rome,RM
GGRGNO92M23H501C,Chiara Grasso,7/23/1992,+39 340 5566778,Italy,Corso Italia 34,Milan,MI
TSTNCR95M28H501D,Dario Testa,4/28/1995,+39 345 1122334,Italy,Via della Moscova 67,Milan,MI
PSCDLR91M09H501E,Enrico Pascale,2/9/1991,+39 326 3344556,Italy,Corso Magenta 12,Milan,MI
GRGGRN89M10H501F,Fabio Gragnani,9/10/1989,+39 312 4455667,Italy,Viale dei Pini 45,Florence,FI
DNCSCA96M15H501G,Giulia Donatelli,11/15/1996,+39 317 5566778,Italy,Piazza Navona 21,Rome,RM
DLLRLL93M09H501H,Helena Dallara,4/9/1993,+39 329 2233445,Italy,Viale Trastevere 34,Rome,RM
LRNCPR88M02H501I,Irene Lorenzini,8/2/1988,+39 312 2345678,Italy,Corso Buenos Aires 56,Milan,MI
FRTGNN85M26H501J,Jonny Frattini,11/26/1985,+39 315 3456789,Italy,Via Veneto 67,Rome,RM
VLLNCR90M21H501K,Katia Villani,6/21/1990,+39 326 1122334,Italy,Corso Garibaldi 12,Milan,MI
MRTLSA90M22H501L,Lorenzo Moretti,4/22/1990,+39 349 9876543,Italy,Corso Vittorio Emanuele 45,Rome,RM
