CodiceFiscale,Name,Birthday,Phone,Country,Address,City,Province
RSSMRA85M01H501Z,Giuseppe Rossi,1985-07-15,+39 327 1234567,Italy,Via Roma 123,Milan,MI
MRTLSA90M22H501X,Alessia Moretti,1990-04-22,+39 349 9876543,Italy,Corso Vittorio Emanuele 45,Rome,RM
BNCLCU88M10H501Y,Luca Bianchi,1988-11-10,+39 366 1122334,Italy,Viale della Libertà 78,Florence,FI
FRRTNN95M30H501W,Martina Ferrari,1995-08-30,+39 335 7890123,Italy,Piazza San Marco 21,Venice,VE
RSSGNN92M18H501A,Giovanni Russo,1992-03-18,+39 346 3456789,Italy,Corso Magenta 56,Turin,TO
PLLMRA87M05H501B,Roberta Palumbo,1987-12-05,+39 320 2345678,Italy,Via della Repubblica 34,Naples,NA
GNNSMN89M14H501C,Marco Gennaro,1989-09-14,+39 328 8765432,Italy,Via Garibaldi 67,Genoa,GE
FRRRCA96M25H501D,Caterina Ferraro,1996-06-25,+39 312 3456789,Italy,Corso Umberto 12,Bologna,BO
LSNRSS91M03H501E,Rossella Lasagna,1991-01-03,+39 317 9876543,Italy,Viale dei Fiori 56,Palermo,PA
GRLNCO94M08H501F,Concetta Greco,1994-05-08,+39 324 1122334,Italy,Piazza del Popolo 78,Bari,BA
BRCCLA86M17H501G,Claudio Barucci,1986-10-17,+39 335 2233445,Italy,Corso Cavour 45,Florence,FI
PRRFLV97M12H501H,Flavio Perri,1997-02-12,+39 327 9876543,Italy,Via Montenapoleone 21,Milan,MI
DLLRLL93M09H501I,Lorella Dalla,1993-04-09,+39 329 8765432,Italy,Viale Trastevere 34,Rome,RM
LMRGLR88M02H501J,Gloria Lamarca,1988-08-02,+39 312 2345678,Italy,Corso Buenos Aires 56,Milan,MI
FRTGNN85M26H501K,Nicoletta Ferrante,1985-11-26,+39 315 3456789,Italy,Via Veneto 67,Rome,RM
VLLNCR90M21H501L,Carlo Villani,1990-06-21,+39 326 1122334,Italy,Corso Garibaldi 12,Milan,MI
LZZMRA98M07H501M,Maria Lazzaro,1998-12-07,+39 321 2233445,Italy,Via Nazionale 45,Rome,RM
